page,car_name,car_price,car_km,car_year,car_desc,car_store,car_engine,car_gearbox,car_fuel,car_color
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,CHEVROLET ONIX,70990.0,46972.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,CHEVROLET TRACKER,96990.0,73771.0,2021,TURBO FLEX LTZ AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,CHEVROLET ONIX,81990.0,50936.0,2021,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,CHEVROLET S10,131990.0,59792.0,2022,16V FLEX ADVANTAGE CD 4X2 MANUAL,,2.5,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,NISSAN KICKS,92990.0,68697.0,2021,16V FLEXSTART SV 4P XTRONIC,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,CHEVROLET ONIX,49800.0,72075.0,2019,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,CHEVROLET ONIX,64990.0,63403.0,2020,FLEX PLUS LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,FORD KA,53990.0,50349.0,2020,SE PLUS 16V FLEX 4P MANUAL,,1.5,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,CHEVROLET ONIX,73490.0,31102.0,2022,FLEX PLUS LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,CAOA CHERY TIGGO 2,60800.0,38900.0,2020,MPFI 16V FLEX LOOK 4P MANUAL,,1.5,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,CHEVROLET ONIX,82990.0,13319.0,2020,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,CHEVROLET PRISMA,64990.0,41926.0,2019,MPFI LT 8V FLEX 4P MANUAL,,1.4,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,CHEVROLET TRACKER,104990.0,25077.0,2021,TURBO FLEX LTZ AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,HYUNDAI CRETA,79800.0,66600.0,2021,16V FLEX ATTITUDE MANUAL,,1.6,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=18,HYUNDAI CRETA,110990.0,32217.0,2021,16V FLEX PRESTIGE AUTOMÁTICO,,2.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,PEUGEOT 208,55990.0,47334.0,2019,16V FLEX ACTIVE PACK AT6,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,CITROËN C4 CACTUS,77800.0,52252.0,2022,VTI 120 FLEX FEEL MANUAL,,1.6,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,HYUNDAI HB20S,47800.0,72656.0,2015,COMFORT STYLE 16V FLEX 4P AUTOMÁTICO,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,CHEVROLET ONIX,50990.0,59763.0,2018,MPFI JOY 8V FLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,CHEVROLET ONIX,51990.0,40236.0,2019,MPFI JOY 8V FLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,CHEVROLET ONIX,74800.0,68633.0,2020,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,CHEVROLET ONIX,50990.0,53369.0,2018,MPFI JOY 8V FLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,RENAULT CAPTUR,99990.0,35970.0,2022,TCE FLEX INTENSE X-TRONIC,,1.3,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,VOLKSWAGEN GOL,56990.0,41904.0,2023,12V MPI TOTALFLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=19,FORD KA,44990.0,60376.0,2018,SE 12V FLEX 4P MANUAL,,1.0,Manual,Flex,
